"release_date","serial_no","transmitter","size","species","group","release","sex","recaptured","tag_life","tag_end"
2021-07-15,"A69-9001-5211","5211",215,"Bronze Whaler","SUB","PSJ","F","Y",3650,2025-08-20
2021-07-15,"A69-9001-5212","5212",181,"Bronze Whaler","SUB","PSJ","M","N",3650,2031-07-13
2021-07-15,"A69-9001-64673","64673",187,"Bronze Whaler","SUB","PSJ","F","N",3650,2031-07-13
2021-07-15,"A69-9001-64674","64674",199,"Bronze Whaler","SUB","PSJ","M","N",3650,2031-07-13
2021-07-15,"A69-9001-64675","64675",202,"Bronze Whaler","SUB","PSJ","M","N",3650,2031-07-13
